,Decade,Year,Date,Time,Location,Operator,Op_Code,Route,AC Type,Make_Type,Aboard,Fatalities,Accident_Code,Summary
0,1900-1910,1908,09/17/1908,17:18,"Fort Myer, Virginia",Military - U.S. Army,Military,Demonstration,Wright Flyer III,Wright,2.0,1.0,Human Error,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
1,1900-1910,1909,09/07/1909,15:00,"Juvisy-sur-Orge, France",Unknown,Others,Air show,Wright Byplane,Wright,1.0,1.0,Unknown,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
2,1911-1920,1912,07/12/1912,06:30,"Atlantic City, New Jersey",Military - U.S. Navy,Military,Test flight,Dirigible,Dirigibl,5.0,5.0,War,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
3,1911-1920,1913,08/06/1913,15:00,"Victoria, British Columbia, Canada",Private,Passenger,Unknown,Curtiss seaplane,Curtiss,1.0,1.0,Weather,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
4,1911-1920,1913,09/09/1913,18:30,Over the North Sea,Military - German Navy,Military,Unknown,Zeppelin L-1 (airship),Zeppelin,20.0,14.0,Landing/Takeoff,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
5,1911-1920,1913,10/17/1913,10:30,"Near Johannisthal, Germany",Military - German Navy,Military,Unknown,Zeppelin L-2 (airship),Zeppelin,30.0,30.0,War,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft.."
6,1911-1920,1915,03/05/1915,01:00,"Tienen, Belgium",Military - German Navy,Military,Unknown,Zeppelin L-8 (airship),Zeppelin,41.0,21.0,War,Crashed into trees while attempting to land after being shot down by British and French aircraft.
7,1911-1920,1915,09/03/1915,15:20,"Off Cuxhaven, Germany",Military - German Navy,Military,Unknown,Zeppelin L-10 (airship),Zeppelin,19.0,19.0,War,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
8,1911-1920,1916,07/28/1916,15:00,"Near Jambol, Bulgeria",Military - German Army,Military,Unknown,Schutte-Lanz S-L-10 (airship),Schutte-Lanz,20.0,20.0,Unknown,"Crashed near the Black Sea, cause unknown."
9,1911-1920,1916,09/24/1916,01:00,"Billericay, England",Military - German Navy,Military,Unknown,Zeppelin L-32 (airship),Zeppelin,22.0,22.0,War,Shot down by British aircraft crashing in flames.
